dataset,model,seed,scarcity_fraction,training_pool_size,retained_size,retained_negative,retained_positive,test_size,fit_seconds,roc_auc,precision,recall,f1,accuracy,average_precision
cleveland,logistic_regression,4,1,242,242,131,111,61,0.0766112999990582,0.938311688311688,0.956521739130435,0.785714285714286,0.862745098039216,0.885245901639344,0.922797501606606
cleveland,random_forest,4,1,242,242,131,111,61,1.17567759999656,0.939935064935065,0.96,0.857142857142857,0.905660377358491,0.918032786885246,0.917169582986267
cleveland,logistic_regression,4,0.5,242,121,66,55,61,0.0599565000011351,0.92965367965368,0.954545454545455,0.75,0.84,0.868852459016393,0.92572906566122
cleveland,random_forest,4,0.5,242,121,66,55,61,1.24957009999343,0.92965367965368,0.956521739130435,0.785714285714286,0.862745098039216,0.885245901639344,0.919848650776073
cleveland,logistic_regression,4,0.25,242,61,33,28,61,0.0564130000057048,0.923160173160173,0.909090909090909,0.714285714285714,0.8,0.836065573770492,0.919343477988035
cleveland,random_forest,4,0.25,242,61,33,28,61,1.18473780000204,0.917207792207792,0.863636363636364,0.678571428571429,0.76,0.80327868852459,0.902778388620642
cleveland,logistic_regression,4,0.1,242,24,13,11,61,0.0505611000044154,0.891774891774892,0.85,0.607142857142857,0.708333333333333,0.770491803278688,0.872348873346071
cleveland,random_forest,4,0.1,242,24,13,11,61,1.28631889999815,0.927489177489177,0.857142857142857,0.642857142857143,0.73469387755102,0.786885245901639,0.913229840672766
cleveland,logistic_regression,4,0.05,242,12,6,6,61,0.0973865000050864,0.915584415584416,0.863636363636364,0.678571428571429,0.76,0.80327868852459,0.901853251746141
cleveland,random_forest,4,0.05,242,12,6,6,61,0.975810999996611,0.916125541125541,0.875,0.75,0.807692307692308,0.836065573770492,0.896662575553131
cleveland,logistic_regression,5,1,242,242,131,111,61,0.0634996999942814,0.912337662337662,0.88,0.785714285714286,0.830188679245283,0.852459016393443,0.922843015538728
cleveland,random_forest,5,1,242,242,131,111,61,1.0932713000002,0.864177489177489,0.777777777777778,0.75,0.763636363636364,0.786885245901639,0.891022124411823
cleveland,logistic_regression,5,0.5,242,121,66,55,61,0.0640469999998457,0.908008658008658,0.833333333333333,0.714285714285714,0.769230769230769,0.80327868852459,0.916969064723937
cleveland,random_forest,5,0.5,242,121,66,55,61,1.0151196999941,0.90530303030303,0.84,0.75,0.792452830188679,0.819672131147541,0.906509555210651
cleveland,logistic_regression,5,0.25,242,61,33,28,61,0.0481727000005775,0.928571428571428,0.84,0.75,0.792452830188679,0.819672131147541,0.930913195198909
cleveland,random_forest,5,0.25,242,61,33,28,61,0.867755600003875,0.937229437229437,0.92,0.821428571428571,0.867924528301887,0.885245901639344,0.944411131524135
cleveland,logistic_regression,5,0.1,242,24,13,11,61,0.108159499999601,0.843073593073593,0.782608695652174,0.642857142857143,0.705882352941177,0.754098360655738,0.829530413774249
cleveland,random_forest,5,0.1,242,24,13,11,61,0.90713020000112,0.890692640692641,0.875,0.75,0.807692307692308,0.836065573770492,0.871382285855794
cleveland,logistic_regression,5,0.05,242,12,6,6,61,0.0405640999961177,0.718614718614719,0.607142857142857,0.607142857142857,0.607142857142857,0.639344262295082,0.649412898099226
cleveland,random_forest,5,0.05,242,12,6,6,61,1.03987269999925,0.799242424242424,0.621621621621622,0.821428571428571,0.707692307692308,0.688524590163934,0.79094776681329
cleveland,logistic_regression,6,1,242,242,131,111,61,0.0552036000008229,0.912337662337662,0.92,0.821428571428571,0.867924528301887,0.885245901639344,0.92607112643685
cleveland,random_forest,6,1,242,242,131,111,61,1.08392170000297,0.869047619047619,0.791666666666667,0.678571428571429,0.730769230769231,0.770491803278688,0.875829748695792
cleveland,logistic_regression,6,0.5,242,121,66,55,61,0.0499352000042563,0.890692640692641,0.851851851851852,0.821428571428571,0.836363636363636,0.852459016393443,0.902933821139415
cleveland,random_forest,6,0.5,242,121,66,55,61,1.39404169999762,0.861471861471861,0.833333333333333,0.714285714285714,0.769230769230769,0.80327868852459,0.867241607161179
cleveland,logistic_regression,6,0.25,242,61,33,28,61,0.129177000002528,0.872294372294372,0.777777777777778,0.75,0.763636363636364,0.786885245901639,0.870118534260401
cleveland,random_forest,6,0.25,242,61,33,28,61,0.940863000003446,0.845238095238095,0.793103448275862,0.821428571428571,0.807017543859649,0.819672131147541,0.833316434751164
cleveland,logistic_regression,6,0.1,242,24,13,11,61,0.0603794999988166,0.818181818181818,0.724137931034483,0.75,0.736842105263158,0.754098360655738,0.815395390213436
cleveland,random_forest,6,0.1,242,24,13,11,61,0.906818000003113,0.845779220779221,0.724137931034483,0.75,0.736842105263158,0.754098360655738,0.84264549848623
cleveland,logistic_regression,6,0.05,242,12,6,6,61,0.038165799996932,0.83982683982684,0.696969696969697,0.821428571428571,0.754098360655738,0.754098360655738,0.807705147095315
cleveland,random_forest,6,0.05,242,12,6,6,61,0.864340699998138,0.851731601731602,0.648648648648649,0.857142857142857,0.738461538461539,0.721311475409836,0.836122849241729
cleveland,logistic_regression,7,1,242,242,131,111,61,0.0954706000047735,0.957792207792208,0.925925925925926,0.892857142857143,0.909090909090909,0.918032786885246,0.960454826628821
cleveland,random_forest,7,1,242,242,131,111,61,1.35038570000324,0.94534632034632,0.888888888888889,0.857142857142857,0.872727272727273,0.885245901639344,0.948671088010584
cleveland,logistic_regression,7,0.5,242,121,66,55,61,0.049720700000762,0.95995670995671,0.892857142857143,0.892857142857143,0.892857142857143,0.901639344262295,0.957909174413499
cleveland,random_forest,7,0.5,242,121,66,55,61,0.97646320000058,0.955627705627706,0.91304347826087,0.75,0.823529411764706,0.852459016393443,0.954425644336359
cleveland,logistic_regression,7,0.25,242,61,33,28,61,0.0382732999933068,0.920995670995671,0.8,0.857142857142857,0.827586206896552,0.836065573770492,0.914024693742775
cleveland,random_forest,7,0.25,242,61,33,28,61,0.8833306000015,0.933982683982684,0.814814814814815,0.785714285714286,0.8,0.819672131147541,0.932778701637987
cleveland,logistic_regression,7,0.1,242,24,13,11,61,0.0346614999943994,0.847402597402597,0.685714285714286,0.857142857142857,0.761904761904762,0.754098360655738,0.838183668100415
cleveland,random_forest,7,0.1,242,24,13,11,61,0.87223190000077,0.917207792207792,0.8,0.857142857142857,0.827586206896552,0.836065573770492,0.912932714091256
cleveland,logistic_regression,7,0.05,242,12,6,6,61,0.0361216999954194,0.816017316017316,0.6,0.857142857142857,0.705882352941177,0.672131147540984,0.820105763443255
cleveland,random_forest,7,0.05,242,12,6,6,61,0.845539200003259,0.922077922077922,0.838709677419355,0.928571428571429,0.88135593220339,0.885245901639344,0.910295011581135
cleveland,logistic_regression,8,1,242,242,131,111,61,0.0383547999954316,0.888528138528139,0.944444444444444,0.607142857142857,0.739130434782609,0.80327868852459,0.894064915187804
cleveland,random_forest,8,1,242,242,131,111,61,0.898724500002572,0.853896103896104,0.863636363636364,0.678571428571429,0.76,0.80327868852459,0.878057308615231
cleveland,logistic_regression,8,0.5,242,121,66,55,61,0.0352897999982815,0.888528138528139,0.944444444444444,0.607142857142857,0.739130434782609,0.80327868852459,0.889001945119856
cleveland,random_forest,8,0.5,242,121,66,55,61,0.904630299999553,0.831709956709957,0.857142857142857,0.642857142857143,0.73469387755102,0.786885245901639,0.852941992130964
cleveland,logistic_regression,8,0.25,242,61,33,28,61,0.0455556000015348,0.865800865800866,0.944444444444444,0.607142857142857,0.739130434782609,0.80327868852459,0.888293108817552
cleveland,random_forest,8,0.25,242,61,33,28,61,1.10333189999801,0.837662337662338,0.9,0.642857142857143,0.75,0.80327868852459,0.864121705659823
cleveland,logistic_regression,8,0.1,242,24,13,11,61,0.0344974000036017,0.884199134199134,0.894736842105263,0.607142857142857,0.723404255319149,0.786885245901639,0.883488305154215
cleveland,random_forest,8,0.1,242,24,13,11,61,0.853346099996998,0.849025974025974,0.823529411764706,0.5,0.622222222222222,0.721311475409836,0.853464010839374
cleveland,logistic_regression,8,0.05,242,12,6,6,61,0.0395382999995489,0.845238095238095,0.739130434782609,0.607142857142857,0.666666666666667,0.721311475409836,0.842958822803723
cleveland,random_forest,8,0.05,242,12,6,6,61,0.840256499999668,0.858766233766234,0.842105263157895,0.571428571428571,0.680851063829787,0.754098360655738,0.860461631482528
cleveland,logistic_regression,9,1,242,242,131,111,61,0.0397907999940797,0.817099567099567,0.782608695652174,0.642857142857143,0.705882352941177,0.754098360655738,0.780456418343778
cleveland,random_forest,9,1,242,242,131,111,61,0.905822999993688,0.836038961038961,0.772727272727273,0.607142857142857,0.68,0.737704918032787,0.817665877456431
cleveland,logistic_regression,9,0.5,242,121,66,55,61,0.0411050999973667,0.791125541125541,0.72,0.642857142857143,0.679245283018868,0.721311475409836,0.773088768753103
cleveland,random_forest,9,0.5,242,121,66,55,61,0.843496599998616,0.801948051948052,0.75,0.642857142857143,0.692307692307692,0.737704918032787,0.78575154606078
cleveland,logistic_regression,9,0.25,242,61,33,28,61,0.0341836000006877,0.807359307359307,0.703703703703704,0.678571428571429,0.690909090909091,0.721311475409836,0.77830661239756
cleveland,random_forest,9,0.25,242,61,33,28,61,0.91309960000217,0.804112554112554,0.692307692307692,0.642857142857143,0.666666666666667,0.704918032786885,0.813258456686831
cleveland,logistic_regression,9,0.1,242,24,13,11,61,0.0347399000020231,0.761904761904762,0.642857142857143,0.642857142857143,0.642857142857143,0.672131147540984,0.76305610545092
cleveland,random_forest,9,0.1,242,24,13,11,61,0.852047800006403,0.777056277056277,0.72,0.642857142857143,0.679245283018868,0.721311475409836,0.776138192041749
cleveland,logistic_regression,9,0.05,242,12,6,6,61,0.0347534000029552,0.767316017316017,0.645161290322581,0.714285714285714,0.677966101694915,0.688524590163934,0.745382189348411
cleveland,random_forest,9,0.05,242,12,6,6,61,0.851623999995354,0.757575757575758,0.653846153846154,0.607142857142857,0.62962962962963,0.672131147540984,0.742043963699405
cleveland,logistic_regression,10,1,242,242,131,111,61,0.0374808999986271,0.912337662337662,0.916666666666667,0.785714285714286,0.846153846153846,0.868852459016393,0.909332170771811
cleveland,random_forest,10,1,242,242,131,111,61,0.927062399998249,0.900432900432901,0.875,0.75,0.807692307692308,0.836065573770492,0.886360621008572
cleveland,logistic_regression,10,0.5,242,121,66,55,61,0.0373349000001326,0.896103896103896,0.88,0.785714285714286,0.830188679245283,0.852459016393443,0.893034114073536
cleveland,random_forest,10,0.5,242,121,66,55,61,0.948213900002884,0.91504329004329,0.95,0.678571428571429,0.791666666666667,0.836065573770492,0.901300989207636
cleveland,logistic_regression,10,0.25,242,61,33,28,61,0.0379858000014791,0.866883116883117,0.84,0.75,0.792452830188679,0.819672131147541,0.860140741723198
cleveland,random_forest,10,0.25,242,61,33,28,61,0.906992500000342,0.905844155844156,0.904761904761905,0.678571428571429,0.775510204081633,0.819672131147541,0.893574673079814
cleveland,logistic_regression,10,0.1,242,24,13,11,61,0.0408390000011421,0.827922077922078,0.785714285714286,0.785714285714286,0.785714285714286,0.80327868852459,0.814213193392117
cleveland,random_forest,10,0.1,242,24,13,11,61,0.881855599996925,0.868506493506494,0.8,0.714285714285714,0.754716981132076,0.786885245901639,0.853671402224634
cleveland,logistic_regression,10,0.05,242,12,6,6,61,0.0535654999985126,0.772727272727273,0.6,0.75,0.666666666666667,0.655737704918033,0.804147186724033
cleveland,random_forest,10,0.05,242,12,6,6,61,0.911879999999655,0.846861471861472,0.685714285714286,0.857142857142857,0.761904761904762,0.754098360655738,0.850692128677066
cleveland,logistic_regression,11,1,242,242,131,111,61,0.0410121000022627,0.911255411255411,0.857142857142857,0.857142857142857,0.857142857142857,0.868852459016393,0.930024673554574
cleveland,random_forest,11,1,242,242,131,111,61,1.2251985000039,0.897186147186147,0.777777777777778,0.75,0.763636363636364,0.786885245901639,0.912954669929834
cleveland,logistic_regression,11,0.5,242,121,66,55,61,0.0866740999990723,0.914502164502164,0.851851851851852,0.821428571428571,0.836363636363636,0.852459016393443,0.930116654017944
cleveland,random_forest,11,0.5,242,121,66,55,61,0.865227300004335,0.90530303030303,0.88,0.785714285714286,0.830188679245283,0.852459016393443,0.911527490424808
cleveland,logistic_regression,11,0.25,242,61,33,28,61,0.0389980999971156,0.914502164502165,0.958333333333333,0.821428571428571,0.884615384615385,0.901639344262295,0.934478047740143
cleveland,random_forest,11,0.25,242,61,33,28,61,0.959708300004422,0.916666666666667,0.821428571428571,0.821428571428571,0.821428571428571,0.836065573770492,0.925346923384914
cleveland,logistic_regression,11,0.1,242,24,13,11,61,0.0525698999990708,0.873376623376623,0.772727272727273,0.607142857142857,0.68,0.737704918032787,0.88577113462127
cleveland,random_forest,11,0.1,242,24,13,11,61,0.977748600002087,0.858766233766234,0.842105263157895,0.571428571428571,0.680851063829787,0.754098360655738,0.837383532254661
cleveland,logistic_regression,11,0.05,242,12,6,6,61,0.0594905000034485,0.878787878787879,0.791666666666667,0.678571428571429,0.730769230769231,0.770491803278688,0.890250333343066
cleveland,random_forest,11,0.05,242,12,6,6,61,1.03154540000105,0.8495670995671,0.739130434782609,0.607142857142857,0.666666666666667,0.721311475409836,0.864239730709309
cleveland,logistic_regression,12,1,242,242,131,111,61,0.0841700000019044,0.928571428571429,0.884615384615385,0.821428571428571,0.851851851851852,0.868852459016393,0.945657959753335
cleveland,random_forest,12,1,242,242,131,111,61,0.951402400001825,0.945887445887446,0.888888888888889,0.857142857142857,0.872727272727273,0.885245901639344,0.95665928307952
cleveland,logistic_regression,12,0.5,242,121,66,55,61,0.0491561999951954,0.927489177489177,0.764705882352941,0.928571428571429,0.838709677419355,0.836065573770492,0.943707613860818
cleveland,random_forest,12,0.5,242,121,66,55,61,0.825923600001261,0.937770562770563,0.787878787878788,0.928571428571429,0.852459016393443,0.852459016393443,0.948751857213252
cleveland,logistic_regression,12,0.25,242,61,33,28,61,0.0831611000030534,0.914502164502165,0.722222222222222,0.928571428571429,0.8125,0.80327868852459,0.925800224938603
cleveland,random_forest,12,0.25,242,61,33,28,61,0.841997199997422,0.929112554112554,0.735294117647059,0.892857142857143,0.806451612903226,0.80327868852459,0.943044653758939
cleveland,logistic_regression,12,0.1,242,24,13,11,61,0.0331804000015836,0.887445887445887,0.685714285714286,0.857142857142857,0.761904761904762,0.754098360655738,0.906598667330541
cleveland,random_forest,12,0.1,242,24,13,11,61,0.867734200000996,0.883658008658009,0.821428571428571,0.821428571428571,0.821428571428571,0.836065573770492,0.907493152713934
cleveland,logistic_regression,12,0.05,242,12,6,6,61,0.0514515000031676,0.91017316017316,0.619047619047619,0.928571428571429,0.742857142857143,0.704918032786885,0.931656520194237
cleveland,random_forest,12,0.05,242,12,6,6,61,0.876571900000272,0.892316017316017,0.565217391304348,0.928571428571429,0.702702702702703,0.639344262295082,0.924260798537574
cleveland,logistic_regression,13,1,242,242,131,111,61,0.0374461000028532,0.902597402597403,0.826086956521739,0.678571428571429,0.745098039215686,0.786885245901639,0.879896544234779
cleveland,random_forest,13,1,242,242,131,111,61,0.921237399998063,0.852272727272727,0.777777777777778,0.75,0.763636363636364,0.786885245901639,0.815121951280214
cleveland,logistic_regression,13,0.5,242,121,66,55,61,0.0460007000001496,0.885281385281385,0.76,0.678571428571429,0.716981132075472,0.754098360655738,0.859754926834338
cleveland,random_forest,13,0.5,242,121,66,55,61,1.02234760000283,0.845238095238095,0.833333333333333,0.714285714285714,0.769230769230769,0.80327868852459,0.815196007439945
cleveland,logistic_regression,13,0.25,242,61,33,28,61,0.0409532999983638,0.835497835497836,0.724137931034483,0.75,0.736842105263158,0.754098360655738,0.794951371454715
cleveland,random_forest,13,0.25,242,61,33,28,61,1.1037856000039,0.827380952380952,0.740740740740741,0.714285714285714,0.727272727272727,0.754098360655738,0.760622177831024
cleveland,logistic_regression,13,0.1,242,24,13,11,61,0.0379109999994398,0.814935064935065,0.724137931034483,0.75,0.736842105263158,0.754098360655738,0.768727062849231
cleveland,random_forest,13,0.1,242,24,13,11,61,0.840025800003786,0.821428571428571,0.740740740740741,0.714285714285714,0.727272727272727,0.754098360655738,0.774682705430622
cleveland,logistic_regression,13,0.05,242,12,6,6,61,0.0430282000015722,0.803030303030303,0.740740740740741,0.714285714285714,0.727272727272727,0.754098360655738,0.745227534261811
cleveland,random_forest,13,0.05,242,12,6,6,61,0.8329756000021,0.841450216450216,0.8,0.714285714285714,0.754716981132076,0.786885245901639,0.79008695900894
cleveland,logistic_regression,14,1,242,242,131,111,61,0.0351754000002982,0.906926406926407,0.857142857142857,0.857142857142857,0.857142857142857,0.868852459016393,0.908535678598268
cleveland,random_forest,14,1,242,242,131,111,61,0.9340799000056,0.903679653679654,0.821428571428571,0.821428571428571,0.821428571428571,0.836065573770492,0.910089458021789
cleveland,logistic_regression,14,0.5,242,121,66,55,61,0.0347230000043054,0.91017316017316,0.827586206896552,0.857142857142857,0.842105263157895,0.852459016393443,0.902724058267484
cleveland,random_forest,14,0.5,242,121,66,55,61,0.823984000002383,0.916666666666667,0.78125,0.892857142857143,0.833333333333333,0.836065573770492,0.90403666857227
cleveland,logistic_regression,14,0.25,242,61,33,28,61,0.0335403999997652,0.853896103896104,0.75,0.857142857142857,0.8,0.80327868852459,0.825838216625827
cleveland,random_forest,14,0.25,242,61,33,28,61,0.856095100003585,0.888528138528139,0.78125,0.892857142857143,0.833333333333333,0.836065573770492,0.859245675091348
cleveland,logistic_regression,14,0.1,242,24,13,11,61,0.0395626000026823,0.823593073593074,0.724137931034483,0.75,0.736842105263158,0.754098360655738,0.781469419061092
cleveland,random_forest,14,0.1,242,24,13,11,61,0.896208099999057,0.84469696969697,0.67741935483871,0.75,0.711864406779661,0.721311475409836,0.816280602969686
cleveland,logistic_regression,14,0.05,242,12,6,6,61,0.0376560000004246,0.714285714285714,0.62962962962963,0.607142857142857,0.618181818181818,0.655737704918033,0.659282101852665
cleveland,random_forest,14,0.05,242,12,6,6,61,0.83095090000279,0.645562770562771,0.545454545454545,0.642857142857143,0.590163934426229,0.590163934426229,0.553572440642074
cleveland,logistic_regression,15,1,242,242,131,111,61,0.033870500003104,0.891774891774892,0.954545454545455,0.75,0.84,0.868852459016393,0.920821462561894
cleveland,random_forest,15,1,242,242,131,111,61,0.92453789999854,0.867424242424242,0.904761904761905,0.678571428571429,0.775510204081633,0.819672131147541,0.890761671852473
cleveland,logistic_regression,15,0.5,242,121,66,55,61,0.0421283999967271,0.891774891774892,1,0.642857142857143,0.782608695652174,0.836065573770492,0.916217616663981
cleveland,random_forest,15,0.5,242,121,66,55,61,0.910819000004267,0.854437229437229,0.904761904761905,0.678571428571429,0.775510204081633,0.819672131147541,0.878710217366055
cleveland,logistic_regression,15,0.25,242,61,33,28,61,0.0340635000029577,0.87987012987013,0.904761904761905,0.678571428571429,0.775510204081633,0.819672131147541,0.88941428844918
cleveland,random_forest,15,0.25,242,61,33,28,61,0.875599600003625,0.851190476190476,0.894736842105263,0.607142857142857,0.723404255319149,0.786885245901639,0.878750941545032
cleveland,logistic_regression,15,0.1,242,24,13,11,61,0.03428719999647,0.856060606060606,0.791666666666667,0.678571428571429,0.730769230769231,0.770491803278688,0.857969657658276
cleveland,random_forest,15,0.1,242,24,13,11,61,0.852823900000658,0.876623376623377,0.944444444444444,0.607142857142857,0.739130434782609,0.80327868852459,0.8906668262402
cleveland,logistic_regression,15,0.05,242,12,6,6,61,0.0422479000044403,0.864718614718615,0.888888888888889,0.571428571428571,0.695652173913043,0.770491803278688,0.870079745429557
cleveland,random_forest,15,0.05,242,12,6,6,61,0.863400599999295,0.871212121212121,1,0.607142857142857,0.755555555555556,0.819672131147541,0.892262194425901
cleveland,logistic_regression,16,1,242,242,131,111,61,0.0336174000040044,0.884199134199134,0.846153846153846,0.785714285714286,0.814814814814815,0.836065573770492,0.874419880149116
cleveland,random_forest,16,1,242,242,131,111,61,0.940739400000894,0.871212121212121,0.769230769230769,0.714285714285714,0.740740740740741,0.770491803278688,0.858648179628249
cleveland,logistic_regression,16,0.5,242,121,66,55,61,0.0373618000012356,0.884199134199134,0.814814814814815,0.785714285714286,0.8,0.819672131147541,0.86583089861021
cleveland,random_forest,16,0.5,242,121,66,55,61,0.854711699998006,0.863636363636364,0.75,0.75,0.75,0.770491803278688,0.829224169635333
cleveland,logistic_regression,16,0.25,242,61,33,28,61,0.0352485000039449,0.874458874458874,0.826086956521739,0.678571428571429,0.745098039215686,0.786885245901639,0.845343399410756
cleveland,random_forest,16,0.25,242,61,33,28,61,0.92036360000202,0.850649350649351,0.8,0.714285714285714,0.754716981132076,0.786885245901639,0.82131802633803
cleveland,logistic_regression,16,0.1,242,24,13,11,61,0.0356644000057712,0.863636363636364,0.821428571428571,0.821428571428571,0.821428571428571,0.836065573770492,0.848487156681158
cleveland,random_forest,16,0.1,242,24,13,11,61,0.921006199998374,0.817099567099567,0.75,0.642857142857143,0.692307692307692,0.737704918032787,0.770094521277119
cleveland,logistic_regression,16,0.05,242,12,6,6,61,0.0357283999983337,0.845238095238095,0.76,0.678571428571429,0.716981132075472,0.754098360655738,0.833461555968324
cleveland,random_forest,16,0.05,242,12,6,6,61,0.860875300000771,0.826298701298701,0.739130434782609,0.607142857142857,0.666666666666667,0.721311475409836,0.768285384583511
